reactiveSite,EC1,EC2,EC3,EC4,EC5,EC6
17|17|19|22|28|29|44|44|,1,0,0,0,0,0
17|17|19|25|29|29|29|44|44|44|44|,0,0,0,1,0,0
17|17|19|25|29|29|44|44|44|44|44|,0,0,0,1,0,0
17|17|19|25|39|44|,0,0,0,0,1,0
17|17|19|26|27|3|3|4|44|,0,0,0,0,1,0
17|17|19|26|28|29|3|44|,1,0,0,0,0,0
17|17|19|26|28|29|44|44|,1,0,0,0,0,0
17|17|19|26|28|39|44|44|44|,1,0,0,0,0,0
17|17|19|26|28|3|39|44|44|,1,0,0,0,0,0
17|17|19|26|37|44|,1,0,0,0,0,0
17|17|19|26|3|37|,1,0,0,0,0,0
17|17|19|27|27|,0,1,0,0,0,0
17|17|19|27|27|27|29|29|41|41|41|44|,0,0,0,1,0,0
17|17|19|27|27|27|41|,0,0,0,1,0,0
17|17|19|27|27|29|29|41|,0,1,0,0,0,0
17|17|19|27|27|29|3|44|,0,1,0,0,0,0
17|17|19|27|27|29|41|44|,0,1,0,0,0,0
17|17|19|27|29|,0,0,0,0,1,0
17|17|19|27|29|31|41|44|,0,1,0,0,0,0
17|17|19|27|29|35|41|44|,0,1,0,0,0,0
17|17|19|27|29|3|31|44|,0,1,0,0,0,0
17|17|19|27|29|3|35|44|,0,1,0,0,0,0
17|17|19|27|29|3|41|44|,0,1,0,0,0,0
17|17|19|27|29|41|41|44|,0,1,0,0,0,0
17|17|19|29|29|29|44|44|44|44|44|,0,0,0,1,0,0
17|17|19|29|29|44|44|,0,0,0,1,0,0
17|17|19|29|29|44|44|44|44|44|44|,0,0,0,1,0,0
17|17|19|29|44|,0,1,0,1,0,0
17|17|19|39|44|44|,0,0,0,0,1,0
17|17|19|3|44|,0,0,0,0,1,0
17|17|19|44|44|8|,0,0,0,1,0,0
17|17|20|20|20|20|27|29|41|44|,0,0,0,0,1,0
17|17|20|22|28|29|3|44|,1,0,0,0,0,0
17|17|20|22|28|29|44|44|,1,0,0,0,0,0
17|17|20|25|39|44|,0,0,0,0,1,0
17|17|20|26|28|29|3|44|,1,0,0,0,0,0
17|17|20|26|28|29|44|44|,1,0,0,0,0,0
17|17|20|26|28|39|44|44|44|,1,0,0,0,0,0
17|17|20|26|28|3|39|44|44|,1,0,0,0,0,0
17|17|20|26|37|44|,1,0,0,0,0,0
17|17|20|26|3|37|,1,0,0,0,0,0
17|17|20|27|29|,0,0,0,0,1,0
