EC1,EC2,EC3,EC4,EC5,EC6
17;17;19;22;28;29;3;44;,18;28;29;31;41;,26;28;28;29;3;3;3;3;44;44;5;5;62;,19;3;39;44;5;5;,17;17;27;27;29;3;41;44;,
17;17;19;22;28;29;44;44;,18;28;29;3;31;,18;28;29;3;3;3;3;31;44;5;5;,19;3;3;39;44;44;,17;19;27;27;29;3;41;44;,
17;17;19;26;28;29;3;44;,18;28;3;31;41;,18;28;29;3;3;3;3;34;44;5;5;,19;3;3;39;44;5;,17;20;27;27;29;3;41;44;,
17;17;19;26;28;29;44;44;,18;28;3;3;31;,18;28;29;3;3;3;3;39;44;5;5;,19;3;3;3;39;44;,19;19;27;27;29;3;41;44;,
17;17;20;22;28;29;3;44;,18;29;3;44;,18;28;29;3;3;3;3;3;31;44;5;,19;3;3;3;40;44;,19;20;27;27;29;3;41;44;,
17;17;20;22;28;29;44;44;,18;29;41;44;,18;28;29;3;3;3;3;3;34;44;5;,19;3;3;40;44;44;,20;20;27;27;29;3;41;44;,
17;17;20;26;28;29;3;44;,18;39;41;44;,18;28;29;3;3;3;3;3;39;44;5;,19;3;3;40;44;5;,17;17;18;28;29;39;44;44;,
17;17;20;26;28;29;44;44;,18;3;39;44;,18;28;29;3;3;3;3;3;3;31;44;,19;3;40;44;44;44;,17;18;19;28;29;39;44;44;,
17;17;22;25;28;29;3;44;,29;29;3;44;,18;28;29;3;3;3;3;3;3;34;44;,19;3;40;44;44;5;,17;18;20;28;29;39;44;44;,
17;17;22;25;28;29;44;44;,29;29;41;44;,18;28;29;3;3;3;3;3;3;39;44;,19;3;40;44;5;5;,18;19;19;28;29;39;44;44;,
17;17;25;26;28;29;3;44;,29;39;41;44;,26;28;29;3;3;3;3;31;44;5;5;,20;3;39;44;44;44;,18;19;20;28;29;39;44;44;,
17;17;25;26;28;29;44;44;,29;3;39;44;,26;28;29;3;3;3;3;34;44;5;5;,20;3;39;44;44;5;,17;18;25;28;29;39;44;44;,
17;18;19;19;28;29;3;44;,29;3;3;44;,26;28;29;3;3;3;3;39;44;5;5;,20;3;39;44;5;5;,18;20;25;28;29;39;44;44;,
17;18;19;19;28;29;44;44;,29;3;41;44;,26;28;29;3;3;3;3;3;31;44;5;,20;3;3;39;44;44;,17;17;17;25;39;44;,
17;18;19;20;28;29;3;44;,3;39;41;44;,26;28;29;3;3;3;3;3;34;44;5;,20;3;3;39;44;5;,17;17;19;25;39;44;,
17;18;19;20;28;29;44;44;,3;3;39;44;,26;28;29;3;3;3;3;3;39;44;5;,20;3;3;3;39;44;,17;17;20;25;39;44;,
17;18;19;25;28;29;3;44;,18;18;25;28;29;44;44;,26;28;29;3;3;3;3;3;3;31;44;,20;3;3;3;40;44;,17;17;25;25;39;44;,
17;18;19;25;28;29;44;44;,26;28;29;44;44;,26;28;29;3;3;3;3;3;3;34;44;,20;3;3;40;44;44;,17;17;25;39;44;44;,
17;18;20;20;28;29;3;44;,18;18;19;28;3;3;3;31;44;44;44;,26;28;29;3;3;3;3;3;3;39;44;,20;3;3;40;44;5;,17;19;19;25;39;44;,
17;18;20;20;28;29;44;44;,18;18;19;28;3;3;3;3;31;44;44;,18;28;31;39;39;44;44;,20;3;40;44;44;44;,17;19;20;25;39;44;,
17;18;20;25;28;29;3;44;,18;18;25;28;3;3;3;31;44;44;44;,18;28;31;39;44;44;44;,20;3;40;44;44;5;,17;19;25;25;39;44;,
17;18;20;25;28;29;44;44;,18;18;25;28;3;3;3;3;31;44;44;,18;28;39;39;39;44;44;,20;3;40;44;5;5;,17;19;25;39;44;44;,
17;18;25;25;28;29;3;44;,18;18;19;37;44;44;8;,18;28;39;39;44;44;44;,17;18;28;29;3;39;44;44;44;,17;20;20;25;39;44;,
